CountryCode,Region,Country,MapName,CountryArea,area_1m,area_2m,area_3m,area_4m,area_5m,percent_1m,percent_2m,percent_3m,percent_4m,percent_5m,Population,pop_1m,pop_2m,pop_3m,pop_4m,pop_5m,pop_percent_1m,pop_percent_2m,pop_percent_3m,pop_percent_4m,pop_percent_5m,pop_density_1m,pop_density_2m,pop_density_3m,pop_density_4m,pop_density_5m
KEN,Sub-Saharan Africa,Kenya,e020n40,579617,226,506,829,1120,1386,0.04,0.09,0.14,0.19,0.24,30669000,15627,22072,35311,47468,64592,0.05,0.07,0.12,0.15,0.21,69.1460177,43.62055336,42.5946924,42.38214286,46.6031746
LBR,Sub-Saharan Africa,Liberia,w020n40,96166,100,147,221,319,434,0.1,0.15,0.23,0.33,0.45,2913000,46660,89000,158594,289158,360564,1.6,3.06,5.44,9.93,12.38,466.6,605.4421769,717.6199095,906.4514107,830.7926267
MDG,Sub-Saharan Africa,Madagascar,e020s10,592965,1163,1945,2968,4266,5904,0.2,0.33,0.5,0.72,1,15970000,85089,141274,183006,263855,330336,0.53,0.88,1.15,1.65,2.07,73.16337059,72.6344473,61.6597035,61.85067979,55.95121951
MRT,Sub-Saharan Africa,Mauritania,w020n40,1036905,7177,8798,10327,11693,13033,0.69,0.85,1,1.13,1.26,2665000,211834,330154,426017,494341,549780,7.95,12.39,15.99,18.55,20.63,29.51567507,37.52602864,41.25273555,42.27666125,42.18368756
MOZ,Sub-Saharan Africa,Mozambique,e020s10,777123,1056,2373,5227,9075,12826,0.14,0.31,0.67,1.17,1.65,18292000,71478,160041,369914,690947,979918,0.39,0.87,2.02,3.78,5.36,67.6875,67.44247788,70.76984886,76.13741047,76.40090441
NGA,Sub-Saharan Africa,Nigeria,w020n40,904235,648,1296,2515,4256,6198,0.07,0.14,0.28,0.47,0.69,113862000,455209,972769,165525,2527719,3505455,0.4,0.85,0.15,2.22,3.08,702.4830247,750.5933642,65.81510934,593.918938,565.5784124
GNB,Sub-Saharan Africa,Guinea-Bissau,w020n40,34106,263,434,837,1647,2760,0.77,1.27,2.45,4.83,8.09,1199000,10215,25988,53520,109778,161336,0.85,2.17,4.46,9.16,13.46,38.84030418,59.88018433,63.94265233,66.65330905,58.45507246
ZAF,Sub-Saharan Africa,South Africa,e020s10,1217645,247,246,565,827,1116,0.02,0.02,0.05,0.07,0.09,43309000,37071,37071,59906,68707,99670,0.09,0.09,0.14,0.16,0.23,150.0850202,150.695122,106.0283186,83.07980653,89.31003584
SEN,Sub-Saharan Africa,Senegal,w020n40,196151,1639,3040,5075,7019,8584,0.84,1.55,2.59,3.58,4.38,9421000,206078,392195,662398,914822,1120602,2.19,4.16,7.03,9.71,11.89,125.7339841,129.0115132,130.5217734,130.3350905,130.5454334
SLE,Sub-Saharan Africa,Sierra Leone,w020n40,72616,253,574,1158,1889,2574,0.35,0.79,1.59,2.6,3.54,4405000,25370,53339,90919,129079,169335,0.58,1.21,2.06,2.93,3.84,100.2766798,92.92508711,78.51381693,68.33192165,65.78671329
